article_link,headline,is_sarcastic
https://www.betootaadvocate.com/advocate-in-focus/abcs-david-anderson-dumps-bowl-of-yoghurt-over-christian-porters-head-in-parliament-house-lunchroom/,ABC’s David Anderson Dumps Bowl Of Yoghurt Over Christian Porter’s Head In Parliament House...,1
https://www.betootaadvocate.com/podcasts/country-blokes-description-of-an-ideal-woman-sounds-an-awful-lot-like-his-mum/,Country Bloke’s Description Of An Ideal Woman Sounds An Awful Lot Like His Mum,1
https://www.betootaadvocate.com/humans-of-betoota/hair-ties-become-an-official-form-of-currency-in-all-girl-sharehouse/,Hair Ties Become An Official Form Of Currency In All-Girl Sharehouse,1
https://www.betootaadvocate.com/uncategorized/2pm-bacon-and-egg-roll-exactly-what-was-needed-to-go-back-to-sleep/,2pm Bacon And Egg Roll Exactly What Was Needed To Go Back To Sleep,1
https://www.betootaadvocate.com/uncategorized/cafe-patrons-not-sure-if-the-old-greek-fellas-berating-each-other-outside-are-mates-or-not/,Cafe Patrons Not Sure If The Old Greek Fellas Berating Each Other Outside Are...,1
https://www.betootaadvocate.com/uncategorized/i-dont-know-why-instagram-recommends-this-to-me-local-bloke-tells-his-wife/,“I Don’t Know Why Instagram Recommends This To Me” Local Bloke Tells His Wife,1
https://www.betootaadvocate.com/uncategorized/recommended-movie-a-flop-as-mate-insists-on-not-pausing-it-for-bathroom-break/,Recommended Movie A Flop As Mate Insists On Not Pausing It For Bathroom Break,1
https://www.betootaadvocate.com/breaking-news/id-give-the-loo-a-minute-says-dad-barely-concealing-his-pride/,"“I’d Give The Loo A Minute,” Says Dad Barely Concealing His Pride",1
https://www.betootaadvocate.com/uncategorized/local-16-year-old-pretty-confident-parents-dont-know-what-watered-down-vodka-tastes-like/,Local 16-Year-Old Pretty Confident Parents Don’t Know What Watered Down Vodka Tastes Like,1
https://www.betootaadvocate.com/uncategorized/accountant-devoid-of-personality-confirms-hes-training-for-local-triathlon/,Accountant Devoid Of Personality Confirms He’s Training For Local Triathlon,1
https://www.betootaadvocate.com/uncategorized/bloke-didnt-realise-a-20-haircut-would-require-him-to-become-a-psychologist/,Bloke Didn’t Realise A $20 Haircut Would Require Him To Become A Psychologist,1
https://www.betootaadvocate.com/uncategorized/bilingual-mate-asked-to-showcase-his-second-language-after-four-schooners/,Bilingual Mate Asked To Showcase His Second Language After Four Schooners,1
