article_link,headline,is_sarcastic
https://chaser.com.au/general-news/victorian-in-lockdown-devastated-to-hear-sydney-is-experiencing-mildly-chilly-weather/,"
Victorian in lockdown devastated to hear Sydney is experiencing mildly chilly weather ",1
https://chaser.com.au/national/abc-pulls-four-corners-episode-after-discovering-ita-buttrose-is-q/,"
ABC pulls Four Corners episode after discovering Ita Buttrose is Q ",1
https://chaser.com.au/national/morrison-announces-100-of-essential-workers-got-the-jab/,"
Morrison announces ‘100% of essential workers got the jab’ ",1
https://chaser.com.au/world/netanyahu-steps-down-as-leader-of-israel-to-spend-more-time-murdering-children/,"
Netanyahu steps down as leader of Israel to spend more time murdering children ",1
https://chaser.com.au/general-news/scott-morrison-sends-sympathies-to-naomi-osaka-stating-he-also-hates-journalists/,"
Scott Morrison sends sympathies to Naomi Osaka, stating he also hates journalists ",1
https://chaser.com.au/entertainment/channel-9-denies-lack-of-diversity-in-covid-ad-karl-is-a-person-of-colour/,"
Channel 9 denies lack of diversity in Covid ad, “Karl is a person of colour” ",1
https://chaser.com.au/national/greg-hunt-wishing-there-was-some-way-to-stop-unvaccinated-people-getting-covid/,"
Greg Hunt wishing there was some way to stop unvaccinated people getting Covid ",1
https://chaser.com.au/national/abc-suffers-humiliating-big-fucking-win-over-porter-reflecting-on-their-editorial-standards/,"
ABC suffers humiliating big fucking win over Porter ",1
https://chaser.com.au/sport/naomi-osaka-wishes-she-was-just-a-man-pushing-anti-vaxxer-theories-instead/,"
Naomi Osaka wishes she was just a man pushing anti-vaxxer theories instead ",1
https://chaser.com.au/national/pm-reassures-victorians-that-he-is-willing-to-give-jobkeeper-to-gerry-harvey/,"
PM reassures Victorians that he is willing to give JobKeeper to Gerry Harvey ",1
https://chaser.com.au/page/2/?s,,1
https://chaser.com.au/podcasts/daily-podcast-oh-no-melbourne/,"
Daily podcast – Oh no, Melbourne! ",1
https://chaser.com.au/listen-to-the-chaser-report-competition/,"
Listen to the Chaser Report competition ",1
https://chaser.com.au/national/pm-claims-he-tried-to-table-workplace-guidelines-but-the-table-had-cum-on-it/,"
PM claims he tried to table workplace guidelines but the table had cum on it ",1
https://chaser.com.au/podcasts/daily-podcast-craig-solves-the-middle-east-crisis/,"
Daily podcast – Craig solves the Middle East crisis ",1
https://chaser.com.au/national/morrison-asks-grace-tame-if-she-needs-a-man-to-explain-the-meaning-of-condescending/,"
Morrison asks Grace Tame if she needs a man to explain the meaning of ‘condescending’ ",1
https://chaser.com.au/general-news/duttons-worst-fears-confirmed-after-gay-marriage-leads-to-woman-marrying-vegetable/,"
Dutton’s worst fears confirmed after gay marriage leads to woman marrying vegetable ",1
https://chaser.com.au/entertainment/first-celebrity-apprentice-challenge-to-test-if-contestants-can-name-any-of-the-celebrities/,"
First Celebrity Apprentice challenge to test if contestants can name any of the celebrities ",1
https://chaser.com.au/podcasts/the-chaser-report-were-back/,"
The Chaser Report – We’re back! ",1
https://chaser.com.au/national/treasurer-heroically-gives-back-some-of-the-money-he-has-cut-from-essential-services/,"
Treasurer heroically gives back some of the money he has cut from essential services ",1
https://chaser.com.au/national/sky-news-demands-australia-reduce-anti-semitism-and-go-back-to-good-old-islamaphobia/,"
Sky News demands Australia reduce anti-Semitism and go back to good old islamaphobia ",1
https://chaser.com.au/general-news/young-people-are-selfish-claims-generation-hoarding-all-the-houses/,"
“Young people are selfish” claims generation hoarding all the houses ",1
https://chaser.com.au/general-news/who-is-to-blame-for-1-3-of-aussies-irrationally-fearing-the-evil-death-jab-asks-media/,"
“Who is to blame for 1/3 of Aussies irrationally fearing the EVIL DEATH JAB?” asks media ",1
https://chaser.com.au/page/4/?s,,1
https://chaser.com.au/page/2/?s,,1
https://chaser.com.au/general-news/government-frantically-erases-30-billion-dogecoin-investment-from-budget/,"
Government frantically erases $30 Billion DogeCoin investment from budget plan ",1
https://chaser.com.au/general-news/research-suggests-in-the-feud-between-melbourne-and-sydney-both-can-fuck-off/,"
Research suggests in the feud between Melbourne and Sydney, both can fuck off ",1
https://chaser.com.au/general-news/lazy-entitled-boomers-told-to-get-a-jab/,"
Lazy entitled Boomers told to get a jab ",1
https://chaser.com.au/general-news/pete-evans-to-collab-with-gold-coast-hairdresser-on-new-tin-foil-hat-line/,"
Pete Evans to collab with Gold Coast hairdresser on new tin foil hat line ",1
https://chaser.com.au/world/it-feels-illegal-to-be-white-says-guy-from-country-where-black-men-are-regularly-murdered-by-police/,"
“It feels illegal to be white” says guy from country where black men are regularly murdered by police ",1
https://chaser.com.au/general-news/andrew-bolt-clarifies-i-meant-australias-india-ban-is-racist-in-a-good-way/,"
Andrew Bolt clarifies “I meant Australia’s India ban is racist in a good way” ",1
https://chaser.com.au/national/virgin-launch-new-frequent-dier-programme/,"
Virgin launch new frequent dier programme ",1
https://chaser.com.au/world/un-successfully-stops-inhumane-regime-with-strong-condemnation/,"
UN successfully stops inhumane regime with strong condemnation ",1
https://chaser.com.au/national/liberal-party-promises-extra-100-billion-for-cum-proof-desks-in-parliament/,"
Liberal Party promises extra $100 billion for cum-proof desks in parliament ",1
https://chaser.com.au/general-news/ben-roberts-smith-joins-space-force-after-learning-aliens-dont-have-human-rights/,"
Ben Roberts-Smith joins Space Force after learning aliens don’t have human rights ",1
https://chaser.com.au/national/government-that-says-climate-action-is-too-expensive-reckons-we-should-start-a-war-with-china/,"
Government that says climate action is too expensive reckons we should start a war with China ",1
https://chaser.com.au/world/countries-supplying-israel-weapons-wish-there-was-some-way-to-stop-the-conflict/,"
Countries supplying Israel weapons wish there was some way to stop the ‘conflict’ ",1
https://chaser.com.au/national/frydenberg-promise-to-spend-extra-100-billion-on-government-announcements/,"
Government promises to spend extra $100 billion on announcements ",1
